"Venom: Let There Be Carnage","Carnage was once a serial killer known as Cletus Kasady, and became Carnage after merging with the offspring of the alien symbiote called Venom during a prison breakout. The symbiote amplified his psychotic nature making him even less mentally stable than he had been previously, and therefore even more dangerous.","Action/Sci-fi",97,2,6.000000,"Tom Hardy, Woody Harrelson, Tom Holland","English"
"The Matrix Resurrections","Thomas Andersons seemingly ordinary life ends when he accepts Morpheuss offer, only to wake up to a new, more secure and much more dangerous Matrix.","Action",148,2,5.700000,"Keanu Reeves, Jada Pinkett Smith, Laurence Fishburne, Jessica Henwick, Carrie-Anne Moss","English"
"The Batman","Batman ventures into Gotham Citys underworld when a sadistic killer leaves behind a trail of cryptic clues. As the evidence begins to lead closer to home and the scale of the perpetrators plans become clear, he must forge new relationships, unmask the culprit and bring justice to the abuse of power and corruption that has long plagued the metropolis.","Action/Adventure",176,2,8.300000,"Robert Pattinson, Zoe Kravitz, Jeffrey Wright","English"
"Morbius ","One of Marvels most compelling and conflicted characters comes to the big screen as Oscarr winner Jared Leto transforms into the enigmatic antihero, Michael Morbius. Dangerously ill with a rare blood disorder, and determined to save others suffering his same fate, Dr. Morbius attempts a desperate gamble. What at first appears to be a radical success soon reveals itself to be a remedy potentially worse than the disease.","Action/Adventure",105,2,5.200000,"Jared Leto, Matt Smith, Adria Arjona","English"
